^yb1 ䷀乾:	Qian:
象傳:	Xiang Zhuan:
澤中有火，革；	(The trigram representing the waters of) a marsh and that for fire in the midst of them form Ge. 
君子以治歷明時。	The superior man, in accordance with this, regulates his (astronomical) calculations, and makes clear the seasons and times.
2 ䷰革:	Ge:
初九：鞏用黃牛之革。	The first NINE, undivided, shows its subject (as if he were) bound with the skin of a yellow ox.
象傳:	Xiang Zhuan:
鞏用黃牛，不可以有為也。	'He is bound with (the skin of) a yellow ox:' - he should in his circumstances be taking action.
3 ䷰革:	Ge:
六二：巳日乃革之，征吉，无咎。	The second SIX, divided, shows its subject making his changes after some time has passed. Action taken will be fortunate. There will be no error.
象傳:	Xiang Zhuan:
巳日革之，行有嘉也。	'He makes his changes when some time has passed:' - what he does will be matter of admiration.
4 ䷰革:	Ge:
九三：征凶，貞厲，革言三就，有孚。	The third NINE, undivided, shows that action taken by its subject will be evil. Though he be firm and correct, his position is perilous. If the change (he contemplates) have been three times fully discussed, he will be believed in.
象傳:	Xiang Zhuan:
革言三就，又何之矣。	'The change (contemplated) has been three times fully discussed:' - to what else should attention (now) be directed?
5 ䷰革:	Ge:
九四：悔亡，有孚改命，吉。	The fourth NINE, undivided, shows occasion for repentance disappearing (from its subject). Let him be believed in; and though he change (existing) ordinances, there will be good fortune.
象傳:	Xiang Zhuan:
改命之吉，信志也。	'The good fortune consequent on changing (existing) ordinances' is due to the faith reposed in his aims.
6 ䷰革:	Ge:
九五：大人虎變，未占有孚。	The fifth NINE, undivided, shows the great man (producing his changes) as the tiger (does when he) changes (his stripes). Before he divines (and proceeds to action), faith has been reposed in him.
象傳:	Xiang Zhuan:
大人虎變，其文炳也。	'The great man produces his changes as the tiger does when he changes his stripes:' - their beauty becomes more brilliant.
7 ䷰革:	Ge:
上六：君子豹變，小人革面，征凶，居貞吉。	The sixth SIX, divided, shows the superior man producing his changes as the leopard (does when he) changes (his spots), while small men change their faces (and show their obedience). To go forward (now) would lead to evil, but there will be good fortune in abiding firm and correct.
象傳:	Xiang Zhuan:
君子豹變，其文蔚也。小人革面，順以從君也。	'The superior man produces his changes as the leopard does when he changes his spots:' - their beauty becomes more elegant. 'Small men change their faces:' - they show themselves prepared to follow their ruler.
^yb50 ䷱鼎:	Ding:
鼎：元吉，亨。	Ding gives the intimation of great progress and success.
彖傳:	Tuan Zhuan:
鼎，象也。以木巽火，亨飪也。	In Ding we have (symbolically) the figure of a caldron. (We see) the (symbol of) wood entering into that of fire, which suggests the idea of cooking. 
聖人亨以享上帝，而大亨以養聖賢。	The sages cooked their offerings in order to present them to God, and made great feasts to nourish their wise and able (ministers). 
巽而耳目聰明，	We have the symbol of) flexible obedience, and that (which denotes) ears quick of hearing and eyes clear-sighted. 
柔進而上行，得中而應乎剛，	(We have also) the weak (line) advanced and acting above, in the central place, and responded to by the strong (line below). 
是以元亨。	All these things give the idea of 'great progress and success.'
象傳:	Xiang Zhuan:
木上有火，鼎；	(The trigram representing) wood and above it that for fire form Ding. 
君子以正位凝命。	The superior man, in accordance with this, keeps his every position correct, and maintains secure the appointment (of Heaven).
2 ䷱鼎:	Ding:
初六：鼎顛趾，利出否，	The first SIX, divided, shows the caldron overthrown and its feet turned up. (But) there will be advantage in its getting rid of what was bad in it. 
得妾以其子，无咎。	(Or it shows us) the concubine (whose position is improved) by means of her son. There will be no error.
象傳:	Xiang Zhuan:
鼎顛趾，未悖也。	'The caldron is overturned, and its feet turned upwards:' - but this is not (all) contrary (to what is right). 
利出否，以從貴也。	'There will be advantage in getting rid of what was bad:' - thereby (the subject of the line) will follow the more noble (subject of the fourth line).
3 ䷱鼎:	Ding:
九二：鼎有實，我仇有疾，不我能即，吉。	The second NINE, undivided, shows the caldron with the things (to be cooked) in it. (If its subject can say), 'My enemy dislikes me, but he cannot approach me,' there will be good fortune.
象傳:	Xiang Zhuan:
鼎有實，慎所之也。	'There is the caldron with the things (to be cooked) in it:' - let (the subject of the line) be careful where he goes. 
我仇有疾，終无尤也。	'My enemy dislikes me:' - but there will in the end be no fault (to which he can point).
4 ䷱鼎:	Ding:
九三：鼎耳革，其行塞，	The third NINE, undivided, shows the caldron with (the places of) its ears changed. The progress (of its subject) is (thus) stopped. 
雉膏不食，方雨虧悔，終吉。	The fat flesh of the pheasant (which is in the caldron) will not be eaten. But the (genial) rain will come, and the grounds for repentance will disappear. There will be good fortune in the end.
象傳:	Xiang Zhuan:
鼎耳革，失其義也。	'There is the caldron with (the places for) its ears changed:' - (its subject) has failed in what was required of him (in his situation).
5 ䷱鼎:	Ding:
九四：鼎折足，覆公餗，	The fourth NINE, undivided, shows the caldron with its feet broken; and its contents, designed for the ruler's use, overturned and spilt. 
其形渥，凶。	Its Subject will be made to blush for shame. There will be evil.
象傳:	Xiang Zhuan:
覆公餗，信如何也。	'The contents designed for the ruler's use are overturned and spilt:' - how can (the subject of the line) be trusted?
6 ䷱鼎:	Ding:
六五：鼎黃耳，金鉉，利貞。	The fifth six, divided, shows the caldron with yellow ears and rings of metal in them. There will be advantage through being firm and correct.
象傳:	Xiang Zhuan:
鼎黃耳，中以為實也。	'The caldron has yellow ears:' - the central position (of the line) is taken as (a proof of) the solid (virtue of its subject).
7 ䷱鼎:	Ding:
上九：鼎玉鉉，大吉，无不利。	The sixth NINE, undivided, shows the caldron with rings of jade. There will be great good fortune, and all action taken will be in every way advantageous.
象傳:	Xiang Zhuan:
玉鉉在上，剛柔節也。	'The rings of jade' are at the very top: - the strong and the weak meet in their due proportions.
^yb51 ䷲震:	Zhen:
震：亨。	Zhen gives the intimation of ease and development. 
震來虩虩，笑言啞啞。	When (the time of) movement (which it indicates) comes, (the subject of the hexagram) will be found looking out with apprehension, and yet smiling and talking cheerfully. 
震驚百里，不喪匕鬯。	When the movement (like a crash of thunder) terrifies all within a hundred Li, he will be (like the sincere worshipper) who is not (startled into) letting go his ladle and (cup of) sacrificial spirits.
彖傳:	Tuan Zhuan:
震，亨。	Zhen (gives the intimation of) ease and development. 
震來虩虩，恐致福也。	'When the (time of) movement (which it indicates) comes, (its subject) will be found looking out with apprehension:' - that feeling of dread leads to happiness. 
笑言啞啞，後有則也。	'And yet smiling and talking cheerfully:' - the issue (of his dread) is that he adopts (proper) laws (for his course). 
震驚百里，驚遠而懼邇也。	'The movement (like a crash of thunder) terrifies all within a hundred Lu:' - it startles the distant and frightens the near. 
出可以守宗廟社稷，以為祭主也。	'He will be like the sincere worshipper, who is not startled into letting go his ladle and cup of sacrificial spirits:' - he makes his appearance, and maintains his ancestral temple and the altars of the spirits of the land and grain, as presiding at all sacrifices.
象傳:	Xiang Zhuan:
洊雷，震；	(The trigram representing) thunder, being repeated, forms Zhen. 
君子以恐懼脩省。	The superior man, in accordance with this, is fearful and apprehensive, cultivates (his virtue), and examines (his faults).
2 ䷲震:	Zhen:
初九：震來虩虩，後笑言啞啞，吉。	The first NINE, undivided, shows its subject, when the movement approaches, looking out and around with apprehension, and afterwards smiling and talking cheerfully. There will be good fortune.
象傳:	Xiang Zhuan:
震來虩虩，恐致福也。	'When the (time of) movement comes, he will be found looking out with apprehension:' - that feeling of dread leads to happiness. 
笑言啞啞，後有則也。	'He yet smiles and talks cheerfully:' - the issue (of his dread) is that he adopts (proper) laws (for his course).
3 ䷲震:	Zhen:
六二：震來厲，	The second SIX, divided, shows its subject, when the movement approaches, in a position of peril. 
億喪貝，躋于九陵，勿逐，七日得。	He judges it better to let go the articles (in his possession), and to ascend a very lofty height. There is no occasion for him to pursue after (the things he has let go); in seven days he will find them.
象傳:	Xiang Zhuan:
震來厲，乘剛也。	'When the movement approaches, he is in a position of peril:' - (a weak line) is mounted on a strong (one).
4 ䷲震:	Zhen:
六三：震蘇蘇，震行无眚。	The third six, divided, shows its subject distraught amid the startling movements going on. If those movements excite him to (right) action, there will be no mistake.
象傳:	Xiang Zhuan:
震蘇蘇，位不當也。	'He is distraught amid the startling movements going on:' - (the third line) is in a position unsuitable to it.
5 ䷲震:	Zhen:
九四：震遂泥。	The fourth NINE, undivided, shows its subject, amid the startling movements, supinely sinking (deeper) in the mud.
象傳:	Xiang Zhuan:
震遂泥，未光也。	'Amid the startling movements, he sinks supinely in the mud:' - the light in him has not yet been brilliantly developed.
6 ䷲震:	Zhen:
六五：震往來厲，億无喪，有事。	The fifth SIX, divided, shows its subject going and coming amidst the startling movements (of the time), and always in peril; but perhaps he will not incur loss, and find business (which he can accomplish).
象傳:	Xiang Zhuan:
震往來厲，危行也。其事在中，大无喪也。	'He goes and comes amid the startling movements, and (always) in peril:' - full of risk are his doings. 'What he has to do has to be done in his central position:' - far will he be from incurring any loss.
7 ䷲震:	Zhen:
上六：震索索，視矍矍，征凶。	The topmost SIX, divided, shows its subject, amidst the startling movements (of the time), in breathless dismay and looking round him with trembling apprehension. If he take action, there will be evil. 
震不于其躬，于其鄰，无咎。	If, while the startling movements have not reached his own person and his neighbourhood, (he were to take precautions), there would be no error, 
婚媾有言。	though his relatives might (still) speak against him.
象傳:	Xiang Zhuan:
震索索，中未得也。	'Amid the startling movements he is in breathless dismay:' - he has not found out (the course of) the due mean. 
雖凶无咎，畏鄰戒也。	'Though evil (threatens), he will not fall into error:' - he is afraid of being warned by his neighbours.
^yb52 ䷳艮:	Gen:
艮：艮其背，不獲其身，行其庭，不見其人，无咎。	When one's resting is like that of the back, and he loses all consciousness of self; when he walks in his courtyard, and does not see any (of the persons) in it,--there will be no error.
彖傳:	Tuan Zhuan:
艮，止也。時止則止，時行則行，	Gen denotes stopping or resting; - resting when it is the time to rest, and acting when it is the time to act. 
動靜不失其時，其道光明。	When one's movements and restings all take place at the proper time for them, his way (of proceeding) is brilliant and intelligent. 
艮其止，止其所也。	Resting in one's resting-point is resting in one's proper place. 
上下敵應，不相與也。	The upper and lower (lines of the hexagram) exactly correspond to each other, but are without any interaction; 
是以不獲其身，行其庭不見其人，无咎也。	hence it is said that '(the subject of the hexagram) has no consciousness of self; that when he walks in his courtyard, he does not see (any of) the persons in it; and that there will be no error.'
象傳:	Xiang Zhuan:
兼山，艮；	(Two trigrams representing) a mountain, one over the other, form Gen. 
君子以思不出其位。	The superior man, in accordance with this, does not go in his thoughts beyond the (duties of the) position in which he is.
2 ䷳艮:	Gen:
初六：艮其趾，无咎，利永貞。	The first SIX, divided, shows its subject keeping his toes at rest. There will be no error; but it will be advantageous for him to be persistently firm and correct.
象傳:	Xiang Zhuan:
艮其趾，未失正也。	'He keeps his toes at rest:' - he does not fail in what is correct (according to the idea of the figure).
3 ䷳艮:	Gen:
六二：艮其腓，	The second SIX, divided, shows its subject keeping the calves of his legs at rest. 
不拯其隨，其心不快。	He cannot help (the subject of the line above) whom he follows, and is dissatisfied in his mind.
象傳:	Xiang Zhuan:
不拯其隨，未退聽也。	'He cannot help him whom he follows:'(he whom he follows) will not retreat to listen to him.
4 ䷳艮:	Gen:
九三：艮其限，列其夤，厲薰心。	The third NINE, undivided, shows its subject keeping his loins at rest, and separating the ribs (from the body below). The situation is perilous, and the heart glows with suppressed excitement.
象傳:	Xiang Zhuan:
艮其限，危薰心也。	'He keeps the loins at rest:' - the danger (from his doing so) produces a glowing, heat in the heart.
5 ䷳艮:	Gen:
六四：艮其身，无咎。	The fourth SIX, divided, shows its subject keeping his trunk at rest. There will be no error.
象傳:	Xiang Zhuan:
艮其身，止諸躬也。	'He keeps the trunk of his body at rest:' - he keeps himself free (from agitation).
6 ䷳艮:	Gen:
六五：艮其輔，言有序，悔亡。	S. The fifth SIX, divided, shows its subject keeping his jawbones at rest, so that his words are (all) orderly. Occasion for repentance will disappear.
象傳:	Xiang Zhuan:
艮其輔，以中正也。	'He keeps his cheek bones at rest:' - in harmony with his central position he acts correctly.
7 ䷳艮:	Gen:
上九：敦艮，吉。	The sixth NINE, undivided, shows its subject devotedly maintaining his restfulness. There will be good fortune.
象傳:	Xiang Zhuan:
敦艮之吉，以厚終也。	'There is good fortune through his devotedly maintaining his restfulness:' - to the end he shows himself generous and good.
^yb53 ䷴漸:	Jian:
漸：女歸吉，利貞。	Jian suggests to us the marriage of a young lady, and the good fortune (attending it). There will be advantage in being firm and correct.
彖傳:	Tuan Zhuan:
漸之進也，女歸吉也。	The advance indicated by Jian is (like) the marrying of a young lady which is attended by good fortune. 
進得位，往有功也。	(The lines) as they advance get into their correct places: - this indicates the achievements of a successful progress. 
進以正，可以正邦也。	The advance is made according to correctness: - (the subject of the hexagram) might rectify his country. 
其位剛，得中也。	Among the places (of the hexagram) we see the strong undivided line in the centre. 
止而巽，動不窮也。	'In (the attributes of) restfulness and flexible penetration we have (the assurance of) an (onward) movement that is inexhaustible.
象傳:	Xiang Zhuan:
山上有木，漸；	(The trigram representing) a mountain and above it that for a tree form Jian. 
君子以居賢德，善俗。	The superior man, in accordance with this, attains to and maintains his extraordinary virtue, and makes the manners of the people good.
2 ䷴漸:	Jian:
初六：鴻漸于干，	The first SIX, divided, shows the wild geese gradually approaching the shore. 
小子厲，有言，无咎。	A young officer (in similar circumstances) will be in a position of danger, and be spoken against; but there will be no error.
象傳:	Xiang Zhuan:
小子之厲，義无咎也。	'The danger of a small officer (as represented in the first line)' is owing to no fault of his in the matter of what is right.
3 ䷴漸:	Jian:
六二：鴻漸于磐，飲食衎衎，吉。	The second SIX, divided, shows the geese gradually approaching the large rocks, where they eat and drink joyfully and at ease. There will be good fortune.
象傳:	Xiang Zhuan:
飲食衎衎，吉，不素飽也。	'They eat and drink joyfully and at ease:' - but not without having earned their food.
4 ䷴漸:	Jian:
九三：鴻漸于陸，夫征不復，婦孕不育，凶；	The third NINE, undivided, shows them gradually advanced to the dry plains. (It suggests also the idea of) a husband who goes on an expedition from which he does not return, and of a wife who is pregnant, but will not nourish her child. There will be evil. 
利禦寇。	(The case symbolised) might be advantageous in resisting plunderers.
象傳:	Xiang Zhuan:
夫征不復，離群醜也。	'A husband goes and does not return:' - he separates himself from his comrades. 
婦孕不育，失其道也。	'A wife is pregnant, but will not nourish her child:' - she has failed in her (proper) course. 
利用御寇，順相保也。	'It might be advantageous in resisting plunderers:' - by acting as here indicated men would preserve one another.
5 ䷴漸:	Jian:
六四：鴻漸于木，或得其桷，无咎。	The fourth SIX, divided, shows the geese gradually advanced to the trees. They may light on the flat branches. There will be no error.
象傳:	Xiang Zhuan:
或得其桷，順以巽也。	'They may light on the flat branches:' - there is docility (in the line) going on to flexible penetration.
6 ䷴漸:	Jian:
九五：鴻漸于陵，	The fifth NINE, undivided, shows the geese gradually advanced to the high mound. 
婦三歲不孕，終莫之勝，吉。	(It suggests the idea of) a wife who for three years does not become pregnant; but in the end the natural issue cannot be prevented. There will be good fortune.
象傳:	Xiang Zhuan:
終莫之勝，吉；	'In the end the natural issue cannot be prevented. There will be good fortune:' - 
得所愿也。	(the subject of the line) will get what he desires.
7 ䷴漸:	Jian:
上九：鴻漸于陸，其羽可用為儀，吉。	The sixth NINE, undivided, shows the geese gradually advanced to the large heights (beyond). Their feathers can be used as ornaments. There will be good fortune.
象傳:	Xiang Zhuan:
其羽可用為儀，吉；不可亂也。	'Their feathers can be used as ornaments. There will be good fortune:' - (the object and character of the subject of the line) cannot be disturbed.
^yb54 ䷵歸妹:	Gui Mei:
歸妹：征凶，无攸利。	Gui Mei indicates that (under the conditions which it denotes) action will be evil, and in no wise advantageous.
彖傳:	Tuan Zhuan:
歸妹，天地之大義也。	By Gui Mei (the marrying away of a younger sister) the great and righteous relation between heaven and earth (is suggested to us). 
天地不交，而萬物不興，	If heaven and earth were to have no intercommunication, things would not grow and flourish as they do. 
歸妹人之終始也。	The marriage of a younger sister is the end (of her maidenhood) and the beginning (of her motherhood). 
說以動，所歸妹也。	We have (in the hexagram the desire of) pleasure and, on the ground of that, movement following. The marrying away is of a younger sister. 
征凶，位不當也。	'Any action will be evil:' - the places (of the lines) are not those appropriate to them. 
无攸利，柔乘剛也。	'It will be in no wise advantageous:' - the weak (third and fifth lines) are mounted on strong lines.
象傳:	Xiang Zhuan:
澤上有雷，歸妹；	(The trigram representing the waters of) a marsh and over it that for thunder form Gui Mei. 
君子以永終知敝。	The superior man, in accordance with this, having regard to the far-distant end, knows the mischief (that may be done at the beginning).
2 ䷵歸妹:	Gui Mei:
初九：歸妹以娣，	The first NINE, undivided, shows the younger sister married off in a position ancillary to the real wife. 
跛能履，征吉。	(It suggests the idea of) a person lame on one leg who yet manages to tramp along. Going forward will be fortunate.
象傳:	Xiang Zhuan:
歸妹以娣，以恆也。	'The younger sister is married off in a position ancillary to that of the real wife:' - it is the constant practice (for such a case). 
跛能履吉，相承也。	'Lame on one leg, she is able to tramp along:' - she can render helpful service.
3 ䷵歸妹:	Gui Mei:
九二：眇能視，利幽人之貞。	The second NINE, undivided, shows her blind of one eye, and yet able to see. There will be advantage in her maintaining the firm correctness of a solitary widow.
象傳:	Xiang Zhuan:
利幽人之貞，未變常也。	'There will be advantage in maintaining the firm correctness of a solitary widow:' - (the subject of the line) has not changed from the constancy (proper to a wife).
4 ䷵歸妹:	Gui Mei:
六三：歸妹以須，反歸以娣。	The third SIX, divided, shows the younger sister who was to be married off in a mean position. She returns and accepts an ancillary position.
象傳:	Xiang Zhuan:
歸妹以須，未當也。	'The younger sister who was to be married off is in a mean position:' - this is shown by the improprieties (indicated in the line).
5 ䷵歸妹:	Gui Mei:
九四：歸妹愆期，遲歸有時。	The fourth NINE, undivided, shows the younger sister who is to be married off protracting the time. She may be late in being married, but the time will come.
象傳:	Xiang Zhuan:
愆期之志，有待而行也。	(The purpose in) 'protracting the time' is that, after waiting, the thing may be done (all the better).
6 ䷵歸妹:	Gui Mei:
六五：帝乙歸妹，其君之袂，不如其娣之袂良，	The fifth SIX, divided, reminds us of the marrying of the younger sister of (king) Di-yi, when the sleeves of her the princess were not equal to those of the (still) younger sister who accompanied her in an inferior capacity. 
月幾望，吉。	(The case suggests the thought of) the moon almost full. There will be good fortune.
象傳:	Xiang Zhuan:
帝乙歸妹，不如其娣之袂良也。	'The sleeves of the younger sister of (king) Di-yi, when she was married away, were not equal to those of her (half-)sister, who accompanied her:' - 
其位在中，以貴行也。	such was her noble character, indicated by the central position of the line.
7 ䷵歸妹:	Gui Mei:
上六：女承筐无實，	The sixth SIX, divided, shows the young lady bearing the basket, 
士刲羊无血，无攸利。	but without anything in it, and the gentleman slaughtering the sheep, but without blood flowing from it. There will be no advantage in any way.
象傳:	Xiang Zhuan:
上六无實，承虛筐也。	'(What is said in) the sixth SIX, (divided),about there being nothing in the basket' shows that the subject of it is carrying an empty basket.
^yb55 ䷶豐:	Feng:
豐：亨，	Feng intimates progress and development. 
王假之，勿憂，宜日中。	When a king has reached the point (which the name denotes) there is no occasion to be anxious (through fear of a change). Let him be as the sun at noon.
彖傳:	Tuan Zhuan:
豐，大也。	Feng has the signification of being great. 
明以動，故丰。	It is made up of the trigrams (representing) intelligence and movement directed by that intelligence. It is thus that it has that signification. 
王假之，尚大也。	'The king has reached the condition (denoted by Feng):' - he has still to make it greater. 
勿憂宜日中，宜照天下也。	'There is no occasion to be anxious. Let him be as the sun at noon:' - it is for him to cause his light to shine on all under the sky. 
日中則昃，月盈則食，	When the sun has reached the meridian height, it begins to decline. When the moon has become full, it begins to wane. 
天地盈虛，與時消息，	The (interaction of) heaven and earth is now vigorous and abundant, now dull and scanty, growing and diminishing according to the seasons. 
而況人於人乎？況於鬼神乎？	How much more must it be so with (the operations of) men! How much more also with the spiritual agency!
象傳:	Xiang Zhuan:
雷電皆至，豐；	(The trigrams representing) thunder and lightning combine to form Feng. 
君子以折獄致刑。	The superior man, in accordance with this, decides cases of litigation, and apportions punishments with exactness.
2 ䷶豐:	Feng:
初九：遇其配主，	The first NINE, undivided, shows its subject meeting with his mate. 
雖旬无咎，往有尚。	Though they are both of the same character, there will be no error. Advance will call forth approval.
象傳:	Xiang Zhuan:
雖旬无咎，過旬災也。	'Though they are both of the same character, there will be no error:' - if the subject of this line seek to overpass that similarity, there will be calamity.
3 ䷶豐:	Feng:
六二：豐其蔀，日中見斗，	The second SIX, divided, shows its subject surrounded by screens so large and thick that at midday he can see from them the constellation of the Bushel. 
往得疑疾，有孚發若，吉。	If he go (and try to enlighten his ruler who is thus emblemed), he will make himself to be viewed with suspicion and dislike. Let him cherish his feeling of sincere devotion that he may thereby move (his ruler's mind), and there will be good fortune.
象傳:	Xiang Zhuan:
有孚發若，信以發志也。	'Let him cherish his feeling of sincere devotion, that it shall appear being put forth:' - it is by sincerity that the mind is affected.
4 ䷶豐:	Feng:
九三：豐其沛，日中見沬，折其右肱，无咎。	The third NINE, undivided, shows its subject with an (additional) screen of a large and thick banner, through which at midday he can see (the small) Mei star. (In the darkness) he breaks his right arm; but there will be no error.
象傳:	Xiang Zhuan:
豐其沛，不可大事也。	'There is an (additional) screen of a large and thick banner:' - great things should not be attempted (in such circumstances). 
折其右肱，終不可用也。	'He breaks his right arm:' - in the end he will not be fit to be employed.
5 ䷶豐:	Feng:
九四：豐其蔀，日中見斗，遇其夷主，吉。	T he fourth NINE, undivided, shows its subject in a tent so large and thick that at midday he can see from it the constellation of the Bushel. But he meets with the subject of the (first) line, undivided like himself. There will be good fortune.
象傳:	Xiang Zhuan:
豐其蔀，位不當也。	'He is surrounded by a screen large and thick:' - the position of the line is inappropriate. 
日中見斗，幽不明也。	'At midday he sees the constellation of the Bushel:' - there is darkness and no light. 
遇其夷主，吉；行也。	'He meets with the subject of the line, undivided like himself. There will be good fortune:' - action may be taken.
6 ䷶豐:	Feng:
六五：來章，有慶譽，吉。	The fifth SIX, divided, shows its subject bringing around him the men of brilliant ability. There will be occasion for congratulation and praise. There will be good fortune.
象傳:	Xiang Zhuan:
六五之吉，有慶也。	'The good fortune indicated by the fifth six, (divided),'is the congratulation (that is sure to arise).
7 ䷶豐:	Feng:
上六：豐其屋，蔀其家，	The topmost SIX, divided, shows its subject with his house made large, but only serving as a screen to his household. 
闚其戶，闃其无人，三歲不覿，凶。	When he looks at his door, it is still, and there is nobody about it. For three years no one is to be seen. There will be evil.
象傳:	Xiang Zhuan:
豐其屋，天際翔也。	'He has made his house large:' - he soars (in his pride) to the heavens. 
闚其戶，闃其无人，自藏也。	'He looks at his door, which is still, with no one about it:' - he (only) keeps himself withdrawn from all others.
^yb56 ䷷旅:	Lu:
旅：小亨，旅貞吉。	Lu intimates that (in the condition which it denotes) there may be some little attainment and progress. If the stranger or traveller be firm and correct as he ought to be, there will be good fortune.
彖傳:	Tuan Zhuan:
旅，小亨，柔得中乎外，而順乎剛，	'Lu indicates that there may be some small attainment and progress:' - the weak (line) occupies the central place in the outer (trigram), and is obedient to the strong (lines on either side of it). 
止而麗乎明，	(We have also the attributes of quiet) resting closely attached to intelligence (in the component trigrams). 
是以小亨，旅貞吉也。	Hence it is said, 'There may be some small attainment and progress. If the stranger or traveller be firm and correct as he ought to be, there will be good fortune.' 
旅之時義大矣哉！	Great is the time and great is the right course to be taken as intimated in Lu!
象傳:	Xiang Zhuan:
山上有火，旅；	(The trigram representing) a mountain and above it that for fire form Lu. 
君子以明慎用刑，而不留獄。	The superior man, in accordance with this, exerts his wisdom and caution in the use of punishments and not allowing litigations to continue.
2 ䷷旅:	Lu:
初六：旅瑣瑣，斯其所取災。	The first SIX, divided, shows the stranger mean and meanly occupied. It is thus that he brings on himself (further) calamity.
象傳:	Xiang Zhuan:
旅瑣瑣，志窮災也。	'The stranger is mean and meanly occupied:' - his aim is become of the lowest character, and calamity will ensue.
3 ䷷旅:	Lu:
六二：旅即次，懷其資，得童僕貞。	The second SIX, divided, shows the stranger, occupying his lodging-house, carrying with him his means of livelihood, and provided with good and trusty servants.
象傳:	Xiang Zhuan:
得童僕貞，終无尤也。	'He is provided with good and trusty servants:' - he will in the end have nothing of which to complain.
4 ䷷旅:	Lu:
九三：旅焚其次，喪其童僕，貞厲。	The third NINE, undivided, shows the stranger, burning his lodging-house, and having lost his servants. However firm and correct he (try to) be, he will be in peril.
象傳:	Xiang Zhuan:
旅焚其次，亦以傷矣。	'The stranger burns his lodging-house:' - and he himself also suffers hurt thereby. 
以旅與下，其義喪也。	When, as a stranger, he treats those below him (as the line indicates), the right relation between him and them is lost.
5 ䷷旅:	Lu:
九四：旅于處，得其資斧，我心不快。	The fourth NINE, undivided, shows the traveller in a resting-place, having (also) the means of livelihood and the axe, (but still saying), 'I am not at ease in my mind.'
象傳:	Xiang Zhuan:
旅于處，未得位也。	'The stranger is in a resting-place:' - but he has not got his proper position. 
得其資斧，心未快也。	'He has the means of livelihood, and the axe:' - but his mind is not at ease.
6 ䷷旅:	Lu:
六五：射雉一矢亡，終以譽命。	The fifth SIX, divided, shows its subject shooting a pheasant. He will lose his arrow, but in the end he will obtain praise and a (high) charge.
象傳:	Xiang Zhuan:
終以譽命，上逮也。	'In the end he will obtain praise and a (high) charge:' - he has reached a high place.
7 ䷷旅:	Lu:
上九：鳥焚其巢，旅人先笑後號咷。	The sixth NINE, undivided, suggests the idea of a bird burning its nest. The stranger, (thus represented), first laughs and then cries out. 
喪牛于易，凶。	He has lost his ox(-like docility) too readily and easily. There will be evil.
象傳:	Xiang Zhuan:
以旅在上，其義焚也。喪牛于易，終莫之聞也。	'Considering that the stranger is here at the very height (of distinction),' with the spirit that possesses him, it is right he (should be emblemed by a bird) burning (its nest). 'He loses his ox(-like docility) too readily and easily:' - to the end he would not listen to (the truth about the course to be pursued).
^yb57 ䷸巽:	Xun:
巽：小亨，利攸往，利見大人。	Xun intimates that (under the conditions which it denotes) there will be some little attainment and progress. There will be advantage in movement onward in whatever direction. It will be advantageous (also) to see the great man.
彖傳:	Tuan Zhuan:
重巽以申命，剛巽乎中正而志行。	The double Xun shows how, in accordance with it, (governmental) orders are reiterated. (We see that) the strong (fifth line) has penetrated into the central and correct place, and the will (of its subject) is being carried into effect; 
柔皆順乎剛，	(we see also) the weak (first and fourth lines) both obedient to the strong lines (above them). 
是以小亨，利有攸往，利見大人。	It is hence said, 'There will be some little attainment and progress. There will be advantage in movement onward in whatever direction. It will be advantageous also to see the great man.'
象傳:	Xiang Zhuan:
隨風，巽；	(Two trigrams representing) wind, following each other, form Xun. 
君子以申命行事。	The superior man, in accordance with this, reiterates his orders, and secures the practice of his affairs.
2 ䷸巽:	Xun:
初六：進退，利武人之貞。	The first SIX, divided, shows its subject (now) advancing, (now) receding. It would be advantageous for him to have the firm correctness of a brave soldier.
象傳:	Xiang Zhuan:
進退，志疑也。	'(Now) he advances, (now) he recedes:' - his mind is perplexed. 
利武人之貞，志治也。	'It would be advantageous for him to have the firmness of a brave soldier:' - his mind would in that case be well governed.
3 ䷸巽:	Xun:
九二：巽在床下，用史巫紛若，吉，无咎。	The second NINE, undivided, shows the representative of Sun beneath a couch, and employing diviners and exorcists in a way bordering on confusion. There will be good fortune and no error.
象傳:	Xiang Zhuan:
紛若之吉，得中也。	'The good fortune springing from what borders on confusion' is due to the position (of the line) in the centre.
4 ䷸巽:	Xun:
九三：頻巽，吝。	The third NINE, undivided, shows its subject penetrating (only) by violent and repeated efforts. There will be occasion for regret.
象傳:	Xiang Zhuan:
頻巽之吝，志窮也。	'The regret arising from the violent and repeated efforts to penetrate' shows the exhaustion of the will.
5 ䷸巽:	Xun:
六四：悔亡，田獲三品。	The fourth SIX, divided, shows all occasion for repentance (in its subject) passed away. He takes game for its threefold use in his hunting.
象傳:	Xiang Zhuan:
田獲三品，有功也。	'He takes game in his hunting, enough for the threefold use of it:' - he achieves merit.
6 ䷸巽:	Xun:
九五：貞吉悔亡，无不利。	The fifth NINE, undivided, shows that with firm correctness there will be good fortune (to its subject). 
无初有終，先庚三日，後庚三日，吉。	All occasion for repentance will disappear, and all his movements will be advantageous. There may have been no (good) beginning, but there will be a (good) end. Three days before making any changes, (let him give notice of them); and three days after, (let him reconsider them). There will (thus) be good fortune.
